"Reference","Value","Footprint","myMANUFACTURER","myMPN"
"C1","22uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C2","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C3","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C7","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C8","1nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C9","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C10","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C11","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C16","4.7uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C17","4.7uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C28","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM033C71C104KE14D"
"C29","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM033C71C104KE14D"
"C31","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM033C71C104KE14D"
"C32","22uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM033C71C104KE14D"
"C33","22uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM033C71C104KE14D"
"D1","D_Schottky","Diode_SMD:D_SOD-128","Nexperia","PMEG3030EP,115"
"D2","RED LED","LED_SMD:LED_0603_1608Metric","Rohm Semiconductor","SML-D12U1WT86"
"D3","LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","Rohm Semiconductor","SML-D12U1WT86"
"D6","LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","Rohm Semiconductor","SML-D12U1WT86"
"J1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Amphenol ICC (FCI)","SIP050-1X02-157B"
"J5","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","GCT","USB4105-GF-A"
"L1","2.2uH","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","TDK","MLZ1608A2R2WTD25"
"R1","2.2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R2","5.1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R3","5.1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R4","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R5","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R6","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R7","100E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R8","2.2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R9","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R10","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R11","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R12","5k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R16","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R18","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R19","560","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R20","2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","E-Switch","TL2201OAYA"
"SW2","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","E-Switch","TL2201OAYA"
"SW6","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","E-Switch","TL2201OAYA"
"U1","ESP32-S3-WROOM-1-N16","RF_Module:ESP32-S3-WROOM-1","Espressif Systems","ESP32-S3-WROOM-1-N16"
"U2","TMP117xxDRV","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","Texas Instruments","TMP117MAIDRVR"
"U3","ML8511-00FCZ05B","myLibrary_Footprints:TQFN12_ML8511_ROM","Rohm Semiconductor","ML8511-00FCZ05B"
"U5","BH1750FVI-TR","myLibrary_Footprints:BH1750FVI-TR_ROM","Rohm Semiconductor","BH1750FVI-TR"
"U6","TPS63001","Package_SON:Texas_DRC0010J_ThermalVias","Texas Instruments","TPS63001DRCR"
"U7","MCP73831T-2ACI_OT","Library:SOT95P280X145-5N","Microchip Technology","MCP73831T-2ATI/OT"
